date,capacity,turnover,open,high,low,close,change,transaction
2023-09-08,12232593,1290143049,105.5,106.0,105.0,106.0,0.5,8184
2023-09-11,17970490,1892009180,106.0,106.0,105.0,105.0,-1.0,11073
2023-09-12,29936070,3197367679,106.0,107.5,105.5,107.5,2.5,10719
2023-09-13,18447173,1957599943,107.0,107.5,105.5,106.0,-1.5,8124
2023-09-14,15925971,1696098318,106.5,107.0,106.0,106.5,0.5,7901
2023-09-15,35796358,3800337901,106.5,107.0,106.0,106.0,-0.5,11524
2023-09-18,19458299,2065336849,106.0,106.5,105.5,106.5,0.5,8648
2023-09-19,13864956,1482205613,106.5,107.5,106.5,106.5,0.0,7128
2023-09-20,19168653,2037961517,106.5,107.0,106.0,106.0,-0.5,10432
2023-09-21,22481559,2367772067,106.0,106.5,105.0,105.0,-1.0,14523
2023-09-22,15164145,1593608220,105.0,105.5,105.0,105.0,0.0,8678
2023-09-25,16714643,1759692944,105.5,106.0,105.0,105.5,0.5,9163
2023-09-26,30615520,3199617720,105.0,105.5,104.0,104.0,-1.5,20954
2023-09-27,16571407,1721873446,104.0,104.5,103.5,104.0,0.0,12931
2023-09-28,24489178,2538919585,104.5,104.5,103.0,104.0,0.0,15612
2023-10-02,13980808,1462459227,104.0,105.0,104.0,104.5,0.5,7239
2023-10-03,17720597,1843275774,104.0,104.5,103.5,104.0,-0.5,9751
2023-10-04,27864693,2867342618,103.0,103.5,102.5,103.0,-1.0,18392
2023-10-05,16777516,1734010040,103.0,104.0,103.0,103.5,0.5,8814
2023-10-06,28202817,2970616668,105.0,106.0,104.5,105.5,2.0,12925
2023-10-11,39153271,4154453547,106.5,106.5,105.5,106.0,0.5,13879
2023-10-12,30018890,3205481301,106.5,107.0,106.0,107.0,1.0,11222
2023-10-13,26692508,2857242748,107.0,107.5,106.0,107.5,0.5,9633
